part_id,system,assembly,part_or_area,as_found_status,lead_or_expected_configuration,critical_identifiers,source_ids,label,confidence,next_action
P001,identity,vehicle,chassis plate and tub identifiers,unknown,"GT40 identity drives every period-correct configuration decision.","Chassis plate, tub stampings, restoration records, title, registry trail","S004;S014",open,high,"Photograph all chassis identifiers before cleaning; update vehicle identity worksheet."
P002,chassis_body,monocoque,steel tub panels and sponsons,unknown,"GT40 identity, corrosion, prior crash repair, and replica construction change repair strategy.","Panel seams, spot welds, material thickness, corrosion points, prior patch panels","S009",open,high,"Create photo map of tub, sills, front bay, rear bay, and suspension pickup areas."
P003,chassis_body,bodywork,fiberglass front and rear clips,unknown,"Body configuration affects cooling, brake ducts, tire clearance, and period appearance.","Clip construction, hinges, latch hardware, duct openings, repair layers","",open,medium,"Inspect fit before suspension alignment or aero-sensitive ride-height decisions."
P004,chassis_body,doors and glazing,doors windows seals latches,unknown,"Door and glazing specification varies across Mk I, road, race, and later rebuilds.","Door shell type, window frame, latch, hinge, weather seal, roof cutout fit","",open,medium,"Record as-found adjustment and latch engagement before disassembly."
P005,engine,short block,block casting and bottom end,unknown,"S015 verifies the 1968 GT40 302 evolution as 101.6 mm bore, 76.2 mm stroke, 4942.16 cc / 302 cu in, with crankshaft part number C8FE-6300-A; installed block/crank are unverified.","Casting number, date code, main caps, bore, stroke, crank part, rods, pistons","S005;S009;S015",verified_context_installed_open,high,"Inspect and photograph casting marks; measure only when engine access allows."
P006,engine,cylinder heads,Gurney-Weslake heads,unknown,"S015 verifies a 1968 Ford GT 40 variant for Weslake aluminium cylinder heads, part number 3/3710; S024 adds Gurney-Weslake official context for Mark I-IV development, William Mills GT40 race-head castings, LM8 Aeroplane and Motor road-head castings, later conversions, and rocker-cover substitution risk; installed heads are unverified.","Casting marks, foundry marks, serials, material/foundry branch, chambers, valve sizes, port shape, passageway clues, plug angle, rocker-cover details, manifold angle, repair history","S006;S009;S015;S024",verified_context_installed_open,high,"Photograph all marks before cleaning; distinguish William Mills race heads from road-car, Gurney Eagle, rocker-cover-swapped, or later-converted heads before machining."
P007,engine,valvetrain,cam rockers pushrods springs,unknown,"Valve lash and rev-limit depend on cam card, rocker ratio, and spring package.","Cam card, rocker make/ratio, pushrod length, spring installed height, retainer/lock type","",open,high,"Measure and record without changing adjusters unless required for safe teardown."
P008,engine,ignition,distributor coil box wires plugs,unknown,"Ignition was freer under Appendix J but actual timing and plug choices are engine-specific.","Distributor make/curve, ignition box, coil, plug type, wires, tach drive","S009",open,high,"Lock out setup values until distributor curve and engine build are known."
P009,engine,induction,carburetors and intake,unknown,"Weber-style carburetion is a lead only; S018 provides official Weber IDA support, literature categories, and 46/48 IDA gasket/service/master-rebuild kit product-code leads if installed carburetors are verified as IDA; model, choke, and jet stack determine tuning.","Carb model, series, serials, choke size, venturis, jets, emulsion tubes, linkage, manifold marks","S004;S013;S018",lead_with_verified_support_source,high,"Photograph carburetor bodies, tags/stamps, jet stack, spacers, gaskets, and linkage before adjustment; record fuel pressure gauge location; use S018 only after carb family is confirmed."
P010,engine,exhaust,headers collectors silencers,unknown,"Appendix J treated exhaust as freer than core engine identity, but installed exhaust affects tune and heat risk.","Header pattern, material, collector size, mounts, wrap/coating, heat shielding","S009",open,medium,"Inspect for cracks and heat exposure to brake, fuel, and electrical systems."
P011,fuel_oil_cooling,fuel storage,tanks cells fillers vents,unknown,"Fuel system safety and event legality depend on installed tank/cell type and date; S015 includes but does not populate fuel-tank capacity.","Tank/cell maker, date/certification, foam, filler, cap, vent valves, drains","S009;S015",verified_boundary_installed_open,high,"Map tank isolation, vent route, hose age, and cockpit/firewall separation."
P012,fuel_oil_cooling,fuel delivery,pumps filters regulators lines,unknown,"Carburetor fuel pressure and flow are installation-specific and not yet actionable; S015 includes a fuel-pump prompt but does not populate pump type/count.","Pump make, regulator, filters, hose spec/date, hardline routing, pressure gauge","S015",verified_boundary_installed_open,high,"Pressure-test only after hose condition and routing are documented."
P013,fuel_oil_cooling,oil system,sump or dry-sump tank pump cooler,unknown,"Oil quantity and pressure targets depend on wet/dry-sump layout and builder setup; S015 includes but does not populate lubrication type, lubricant capacity, or oil-cooler details.","Pump, tank/sump, cooler, thermostat, filter, relief valve, line size, breather/catch tank","S009;S015",verified_boundary_installed_open,high,"Map oil circuit before filling, priming, or setting pressure assumptions."
