fact_id,system,fact,applicability,label,source_ids,confidence,notes
F001,identity,"Working subject is a 1968-era GT40 Mk I style vehicle with Gurney-Weslake Ford 302 configuration.","This project only; not a verified chassis specification.",assumption,"",medium,"User-provided scope."
F002,identity,"Chassis number is required before final settings are considered authoritative.","All GT40 restoration work.",verified,"",high,"Configuration-control rule derived from vehicle variability and safety."
F003,engine,"Gurney-Weslake 302 claims require block, head, induction, compression, cam, and build-sheet verification.","Engine system.",open,"S004;S005;S006",low,"Current web results are leads only."
F004,history,"Secondary sources identify GT40P/1075 as the 1968 Le Mans-winning Mk I.","Historical context only.",lead_only,"S004",medium,"Needs primary race records or chassis register confirmation."
F005,rules,"Secondary sources describe the 1968 context as 3.0 L prototype limit with up-to-5.0 L homologated Group 4 sports cars.","Historical context only.",lead_only,"S004;S007",medium,"Needs FIA Appendix J / homologation primary source."
F006,driveline,"Mk I transaxle identity must be verified before ratios, oil, preload, or LSD setup are advised.","Driveline system.",verified,"",high,"Configuration-control rule."
F007,rules,"1968 FIA Appendix J classified Group 4 as sportscars within recognized production cars, with a 50-car recognition threshold.","1968 Group 4 period context.",verified,"S009",high,"Regulation fact; still requires the GT40 homologation form for chassis-specific details."
F008,rules,"1968 FIA Appendix J cylinder-capacity classes included over 3,000 cc to 5,000 cc and over 5,000 cc classes.","Displacement-class context for a 302 cu in / about 4.9 L engine.",verified,"S009",high,"Regulation fact, not an engine build specification."
F009,chassis_body,"1968 Appendix J sportscars had to have at least two seats.","Group 4 sportscar identity context.",verified,"S009",high,"Regulation fact."
F010,source_control,"Recognition forms could be required at scrutineering or at the start, and competitors had to obtain them through the relevant national sporting authority.","Source-control and event-preparation context.",verified,"S009",high,"Use this as the basis for locating the GT40 recognition form."
F011,engine,"For 1968 Group 4 recognition, engine identity included items such as cylinder head, cylinder block, cylinder count, bore, stroke, and crankshaft bearings.","Engine configuration control.",verified,"S009",high,"Makes Gurney-Weslake head identity and measured bore/stroke primary evidence needs."
F012,driveline,"For 1968 Group 4 recognition, gearbox identity and recognized gear series were controlled while gearbox and final-drive ratios had broad freedom.","Driveline configuration control.",verified,"S009",high,"Actual transaxle still must be identified before shop settings."
F013,brakes,"Sportscar brake systems were expected to act on four wheels and retain braking on at least two wheels after leakage or failure in part of the transmission system.","Brake system safety and period regulation context.",verified,"S009",high,"Does not provide GT40-specific hydraulic layout or brake-bias settings."
F014,suspension,"1968 Group 4 recognition treated suspension through operating principle and component function rather than generic visual similarity.","Suspension configuration control.",verified,"S009",medium,"Use to avoid substituting unverified replica or later geometry."
F015,chassis_body,"Sportscar weight had to comply with the recognition form and applicable minimum-weight table; weight reduction below the recognized minimum was not permitted.","Chassis/body and event-compliance context.",verified,"S009",high,"The GT40 recognition form is still needed for the exact value."
F016,source_control,"FIA Historic Database guidance says event HTP use requires an ASN-certified copy of the original or retrospective homologation form, while website forms are consultation-only.","Homologation document control and event preparation.",verified,"S014",high,"Use research copies for mechanics research, but obtain certified copies for event use."
F017,history,"Secondary sources identify GT40P/1075 as the Mk I associated with the 1968 and 1969 Le Mans wins.","Historical context and source-acquisition lead only.",lead_only,"S004",medium,"Needs ACO, JWA, Ford, chassis-register, or specialist book confirmation before promotion."
F018,history,"Secondary sources list the 1968 Le Mans-winning car as number 9, JW Automotive Engineering, Pedro Rodriguez and Lucien Bianchi, Ford GT40, Ford 4.9 L V8, 331 laps.","Race-result context only.",lead_only,"S013",medium,"Reportedly derived from an ACO-licensed book, but the book/ACO record has not been inspected directly."
F019,engine,"Secondary sources describe the GT40 302 as a Ford small-block package with heavy-duty four-bolt main bearing caps, pressed-in core plugs, and Gurney-Weslake aluminum heads.","Engine research lead only.",lead_only,"S005",low,"Requires inspection and Ford/FAV/JWA/Gurney-Weslake documentation before mechanic use."
F020,engine,"Secondary sources state Weslake provided Gurney-Weslake cylinder heads for Gulf-Wyer GT40 Mk I Le Mans-winning engines in 1968 and 1969.","Engine history and head-identification lead only.",lead_only,"S006",low,"Does not verify the installed heads on this car."
F021,engine,"Secondary sources connect the 1968 GT40 race context to a 4.9 L / 4942 cc / 302 cu in Ford V8.","Displacement context only.",lead_only,"S004;S005;S013",medium,"S009 verifies the relevant FIA displacement class, not the exact GT40 engine build."
F022,induction,"Secondary sources commonly describe 1968 4.9 L GT40 packages with Weber carburetion.","Induction research lead only.",lead_only,"S004;S013",low,"Installed carburetors, jetting, fuel pressure, and linkage remain unverified."
F023,driveline,"Secondary sources commonly associate GT40 Mk I and Mk III cars with a ZF 5-speed transaxle family.","Driveline research lead only.",lead_only,"S004;S008",low,"Installed transaxle must be identified before ratios, oil, preload, or adjustment guidance."
F024,engine,"For 1968 Group 4 sportscar recognition, ignition, induction, exhaust, carburettor, filters, and manifolds were treated as free items relative to the controlled engine identity points.","Regulation context for engine/induction configuration.",verified,"S009",high,"Does not provide safe ignition, carburetor, exhaust, or fuel settings."
F025,engine,"1968 Appendix J permitted Group 4 sportscar engine re-boring up to 1.2 mm regardless of engine type.","Regulation context only.",verified,"S009",high,"Does not establish the installed engine's bore, wall thickness, piston spec, or rebuild limit."
F026,chassis_body,"1968 Appendix J listed 700 kg as the minimum weight table value for sportscars over 3,000 cc and up to 5,000 cc, while also requiring compliance with the recognition form.","Regulation context for 302 / about 4.9 L sportscar class.",verified,"S009",high,"The Ford GT40 recognition form may control the exact applicable weight."
F027,safety,"1968 Appendix J two-seater racing-car provisions required a mounted dry-chemical fire extinguisher of at least 1 kg, roll-over protection, quick-release safety belt, adequate firewall/floor protection, and isolation of fuel/oil/water tanks from the cockpit.","Period safety benchmark; not automatically a Group 4 GT40 homologation requirement.",verified,"S009",medium,"Use as historical safety context only; current event safety rules may be stricter."
F028,electrical,"1968 Appendix J racing-car provisions required a general electric circuit breaker for fire protection and fully enclosed batteries.","Period safety benchmark; not automatically a Group 4 GT40 homologation requirement.",verified,"S009",medium,"Useful inspection prompt for electrical safety but not a wiring diagram."
F029,fuel_oil_cooling,"1968 Appendix J racing-car provisions required fuel-tank venting to prevent fumes entering driver or engine compartments and tank isolation so leakage or spillage would not enter cockpit, engine compartment, or exhaust areas.","Period safety benchmark; not automatically a Group 4 GT40 homologation requirement.",verified,"S009",medium,"Useful inspection prompt; installed fuel-cell/tank specification remains unknown."
F030,fuel_oil_cooling,"1968 Appendix J racing-car provisions required a catch tank or device to collect oil spilled from the engine or transmission, with capacity requirements stated for formula/free cars.","Period safety benchmark only.",verified,"S009",medium,"Do not infer GT40 oil-system capacity or breather layout from this."
F031,rules,"The FIA Historic Database identifies Ford GT 40 as Recognition/Homologation No. 224 in Group 4.","Ford GT40 Mk I period homologation context.",verified,"S015",high,"This captures the exact official FIA record path for the project."
F032,rules,"The FIA Ford GT 40 car page lists Group 4, 4736 cc, RWD, 8 cylinders, United Kingdom, and homologation date February 2, 1966.","Base GT40 recognition context.",verified,"S015",high,"Event use still requires ASN-certified documents per S014."
F033,chassis_body,"The Ford GT 40 No. 224 base form records 50 identical cars reached by December 31, 1965.","Production-threshold and recognition context.",verified,"S015",high,"Useful for homologation history, not proof of this car's chassis identity."
F034,chassis_body,"The Ford GT 40 No. 224 base form records 95 in / 2413 mm wheelbase and 55 in / 1397 mm front and rear track.","Base homologated dimensions.",verified,"S015",high,"Use as recognition data; measure the actual chassis before judging repair or setup."
F035,chassis_body,"The Ford GT 40 No. 224 base form records weight as 905 kg / 1993 lb without fuel or repair tools under the form's weight definition.","Base homologated weight context.",verified,"S015",high,"This differs from the generic Appendix J minimum table; do not use as setup weight without chassis/use-case context."
F036,chassis_body,"The Ford GT 40 No. 224 base form records partly unitized steel chassis/body structure, steel unitary material, fiberglass and steel coachwork, fiberglass bonnet, and fiberglass boot lid.","Base chassis/body material recognition data.",verified,"S015",high,"Does not identify later repairs, replica construction, or continuation-car materials."
F037,engine,"The Ford GT 40 No. 224 base engine entry records V8, 4-stroke, 101.6 mm bore, 72.9 mm stroke, and 4736 cc / 289 cu in total capacity.","Base 289 GT40 engine recognition data.",verified,"S015",high,"Not the 1968 302 evolution and not a rebuild instruction."
F038,engine,"The Ford GT 40 No. 224 base engine entry records cast-iron cylinder block, cast-iron cylinder heads, 5 main bearings, shell main and rod bearings, one centrally located camshaft in block, chain cam drive, and pushrod/rocker valve operation.","Base 289 GT40 engine identity data.",verified,"S015",high,"The 1968 Weslake-head amendment changes head context for the project configuration."
F039,engine,"The Ford GT 40 No. 224 variant amendment identifies Weslake aluminium cylinder heads for Ford GT 40, part number 3/3710, valid from January 1, 1968.","1968 Gurney-Weslake GT40 engine configuration context.",verified,"S015",high,"Installed heads still require casting/marking confirmation."
F040,engine,"The Ford GT 40 No. 224 engine evolution amendment records 101.6 mm bore, 76.2 mm stroke, 4942.16 cc / 302 cu in total capacity, and crankshaft part number C8FE-6300-A, valid from May 1, 1968.","1968 302 GT40 engine configuration context.",verified,"S015",high,"Does not provide compression, cam, lash, torque, ignition, or rebuild clearances."
F041,driveline,"The Ford GT 40 No. 224 base driveline entry records a ZF manual gearbox with 5 forward ratios, offset bevel final drive, and limited-slip differential.","Base GT40 driveline recognition data.",verified,"S015",high,"Does not provide service settings or ratios."
F042,driveline,"The Ford GT 40 No. 224 gearbox / limited-slip evolution amendment records a Hewland LG600 5-speed gearbox and Ford heavy-duty limited-slip differential part number CDH4204A, valid from May 1, 1968.","1968 GT40 driveline evolution context.",verified,"S015",high,"Installed transaxle and LSD must be identified before oil, preload, backlash, or shift settings."
F043,suspension,"The Ford GT 40 No. 224 base form records independent front and rear suspension with coil springs.","Base GT40 suspension recognition data.",verified,"S015",high,"No alignment, ride-height, spring-rate, damper, or anti-roll-bar values are provided."
F044,brakes,"The Ford GT 40 No. 224 base form records hydraulic brake operation.","Base GT40 brake recognition data.",verified,"S015",medium,"The form page inspected does not provide complete brake dimensions or bias settings."
F045,driveline,"Hewland Classic is the Hewland-licensed historic support partner for classic Hewland gearboxes, and its range includes LG500 and LG600.","Component-source authority context.",verified,"S016;S017",high,"This supports S016 as a component manual source; it does not prove installation on the project car."
F046,driveline,"The Hewland LG500/LG600 manual covers LG-series transaxles for 300 to 450 cu in competition engines, with LG600 as the 5-speed variant.","Potentially applicable if the installed unit is verified as LG600.",verified,"S016",high,"Useful match to the S015 1968 LG600 evolution, but not installation proof."
F047,driveline,"The Hewland LG500/LG600 manual describes a 3.3:1 final drive, straight-cut non-synchronized face-dog gears, ratios changeable without removing the transaxle, and all ratios except bottom gear interchangeable.","LG500/LG600 component behavior and service planning.",verified,"S016",high,"Do not infer the installed ratio stack without inspection or records."
F048,driveline,"The Hewland LG500/LG600 manual describes taper-roller differential/crown-wheel bearings with preload adjusted by shims, caged needle rollers, heat-treated nickel-chrome steel gears and shafts, aluminum-bronze selector forks, and magnesium-alloy casings.","LG500/LG600 inspection and rebuild context.",verified,"S016",high,"Condition and exact setup remain unit-specific."
F049,driveline,"The Hewland LG500/LG600 manual states that the gearbox is splash-lubricated, the final drive is pump-lubricated through a filter, and an external oil cooler is strongly recommended to keep oil temperature below 110 C / 250 F.","LG500/LG600 lubrication and cooling context.",verified,"S016",high,"Oil type and fill quantity still require verified manual reading and installed-unit identification."
F050,driveline,"The Hewland LG500/LG600 manual requires ratio changes to use correctly matched gear pairs identified by etched tooth numbers.","LG500/LG600 ratio-change procedure.",verified,"S016",high,"Actionable only after confirming the installed gearbox family and condition."
