item_id,system,component,as_found_status,expected_or_lead_configuration,source_ids,label,confidence,required_evidence,next_action
C001,identity,chassis number,unknown,"GT40 chassis identity determines original build, race history, homologation applicability, and rebuild history.","S004",open,high,"Chassis plate/stampings, title, registry records, restoration records.","Photograph identifiers before cleaning; update vehicle identity worksheet."
C002,rules,FIA homologation form,captured_research_copy,"Ford GT40 Mk I FIA Recognition/Homologation No. 224 Group 4 is captured from the FIA Historic Database, including 1968 extensions for cylinder head, 4942cc engine, gearbox, and limited slip.","S009;S011;S014;S015",verified,high,"ASN-certified copy if event HTP use is required.","Use S015 for research; obtain ASN-certified homologation copy for event use."
C003,engine,engine block,unknown,"S015 verifies the homologated 1968 GT40 302 evolution as 101.6 mm bore, 76.2 mm stroke, 4942.16 cc / 302 cu in, with crankshaft part number C8FE-6300-A; installed block/crank are not verified.","S005;S009;S015",verified_context_installed_open,high,"Block casting/date, main-cap arrangement, bore, stroke, builder marks, crankshaft part, build sheet.","Inspect and photograph block/crank identifiers; measure bore/stroke if engine is apart."
C004,engine,cylinder heads,unknown,"S015 verifies a 1968 Ford GT 40 variant for Weslake aluminium cylinder heads, part number 3/3710; S024 adds official Gurney-Weslake identification context for Mark I-IV heads, design cues, and GT40 race-head versus road-head distinctions; installed heads are not verified.","S005;S006;S015;S024",verified_context_installed_open,high,"Head casting/foundry marks, chamber/valve data, port form, rocker-cover details, manifold angle, repair records, Weslake/Gurney-Weslake documentation.","Inspect heads and record all marks before cleaning or machining; do not accept rocker covers alone as identity proof."
C005,induction,induction,unknown,"Lead sources commonly associate the 1968 4.9 L GT40 package with Weber carburetion; S018 provides an official Weber distributor support route for IDA identification and service parts, but installed carburetors remain unverified.","S004;S013;S018",lead_with_verified_support_source,medium,"Carburetor model, series, serials, choke size, jet stack, linkage, fuel pressure source, diagrams/manuals for exact model.","Photograph and document carburetors before adjustment; if Weber IDA is verified, use S018 to obtain exact diagrams/service parts."
C006,driveline,transaxle,unknown,"S015 verifies a base ZF 5-speed recognition entry and a 1968 evolution for Hewland LG600 5-speed with Ford heavy-duty limited-slip differential part number CDH4204A; S016 provides LG500/LG600 component manual context; installed unit not verified.","S008;S015;S016",verified_context_installed_open,high,"Transaxle plate, serial, case markings, gear count, LSD part/markings, service manual.","Identify installed unit before oil or setup advice; if Hewland LG600 is confirmed, use S016 for component workflow and cautions."
C007,brakes,brake system,unknown,"FIA Appendix J provides a four-wheel/fail-safe regulation baseline but no GT40-specific hydraulic settings.","S009",verified,high,"Caliper/disc/master-cylinder IDs, line routing, balance mechanism, component manuals.","Map brake system and inspect before pressure or bias changes."
C008,suspension,suspension geometry,unknown,"FIA Appendix J makes suspension principle/function recognition-sensitive; S015 verifies independent front/rear suspension with coil springs but does not populate stabilizer, damper count/type, geometry, or setup values.","S009;S015",verified_boundary_installed_open,high,"Pickup dimensions, shim packs, uprights, springs, dampers, bars, alignment as found.","Photograph and record as-found setup before disassembly; do not infer bars, dampers, ride height, or alignment from S015."
C009,wheels_tires,wheels and tires,unknown,"S015 includes wheel fields but does not populate type, weight, method of attachment, rim diameter, or rim width; wheel, center-lock, and tire settings are hardware-specific and currently unverified.","S015",verified_boundary_installed_open,high,"Wheel make/size/offset, peg drive, center-lock threads, tire model/date/construction.","Inspect and document before torque or pressure recommendations; do not infer wheel specs from S015."
C010,fuel_oil_cooling,fuel system,unknown,"S015 includes a fuel-tank capacity field and fuel-pump prompt, but the inspected copy does not populate actionable values; fuel pressure, pump, cell/tank, hose, and fire-safety settings are installation-specific.","S009;S015",verified_boundary_installed_open,high,"Tank/cell certification, pump/regulator IDs, hose dates, routing, filter data.","Map system and treat aged fuel components as suspect; do not infer capacity or pump type from S015."
