source_id,title,source_type,tier,url_or_location,status,notes
S001,FIA Historic Database,official archive candidate,1,https://historicdb.fia.com/,verified_path,"Official archive path used to capture Ford GT 40 FIA Recognition/Homologation No. 224 as S015; remains a target for future related forms and updates."
S002,Ford media / Ford heritage public materials,official manufacturer candidate,1,https://media.ford.com/,candidate,"Primary target for Ford GT40 historical statements and heritage releases."
S003,Ford Heritage Vault,official manufacturer archive/search path,1,https://fordheritagevault.com/,verified_path,"Official Ford archive/search site inspected directly; GT40 keyword search returned 84 records with textual, image, and moving-image filters. Use as a Ford archive acquisition path, not as a service-settings source by itself."
S004,Ford GT40 Wikipedia article,secondary lead,4,https://en.wikipedia.org/wiki/Ford_GT40,lead_only,"Used only to identify leads: GT40P/1075, 1968 rule context, component/source names."
S005,Ford small block engine Wikipedia article,secondary lead,4,https://en.wikipedia.org/wiki/Ford_small_block_engine,lead_only,"Used only as a lead for 302/Gurney-Weslake claims; not used for action specs."
S006,Weslake Wikipedia article,secondary lead,4,https://en.wikipedia.org/wiki/Weslake,lead_only,"Used only as a lead for Weslake/Gurney-Weslake claims; not used for action specs."
S007,1968 World Sportscar Championship Wikipedia article,secondary lead,4,https://en.wikipedia.org/wiki/1968_World_Sportscar_Championship,lead_only,"Used only as a lead for 1968 championship and rule context."
S008,ZF transmission references,component primary target,1,https://www.zf.com/,candidate,"Primary target for ZF 5DS-25 service data if this car uses ZF."
S009,FIA Appendix J 1968 English PDF,official regulation,1,https://historicdb.fia.com/sites/default/files/regulations/1440577810/appendix_j_1968.pdf,verified,"Primary FIA regulation source for 1968 categories, Group 4 sportscar recognition, displacement classes, recognition forms, and component constraints."
S010,FIA Period Appendix J index,official regulation index,1,https://historicdb.fia.com/regulations/period-appendix-j,verified,"Official FIA Historic Database index used to locate the 1968 Appendix J PDF."
S011,FIA Homologation List index,official homologation index,1,https://historicdb.fia.com/regulations/homologation-list,candidate,"Official FIA Historic Database homologation list; exact Ford GT40 Mk I entry still needs capture from search or pagination."
S012,Group 4 motorsport article,secondary lead,4,https://en.wikipedia.org/wiki/Group_4_(motorsport),lead_only,"Used only as a lead to FIA Appendix J and the claimed GT40 Mk I homologation entry; not used alone for shop specs."
S013,1968 24 Hours of Le Mans article,secondary lead,4,https://en.wikipedia.org/wiki/1968_24_Hours_of_Le_Mans,lead_only,"Used only as a lead for 1968 race context and JWA/Gulf details; needs primary race or team records for authority."
