gap_id,system,blocked_area,why_blocked,required_evidence,related_register_ids,source_ids,request_packet_section,priority,status,next_action
G001,identity,chassis identity,"Chassis identity determines originality, homologation applicability, repair approach, and event paperwork.","Chassis plate, tub stampings, title, provenance records, restoration records, registry trail.","C001;P001","S014;S015","Owner / shop evidence request",P1,open,"Photograph all identifiers before cleaning and add records to vehicle identity worksheet."
G002,engine,installed 302 short block,"S015 verifies the 1968 302 homologation context but not the installed block, crank, pistons, clearances, or build state.","Block casting/date, main caps, bore, stroke, crank markings, rods, pistons, builder marks, build sheet, measured clearances.","C003;P005;ST001;ST006;ST007","S009;S015","Owner / shop evidence request",P1,open,"Collect engine identification and build-sheet evidence before timing, oil, rev-limit, or machining guidance."
G003,engine,Gurney-Weslake heads,"S015 and S024 verify context and identification prompts, but installed heads and service specifications are unverified.","Casting/foundry marks, serials, chamber and port photos, valve sizes, plug details, rocker gear, manifold angle, repair history, service drawings/specs.","C004;P006;ST002;ST003","S015;S024","Specialist request - Gurney-Weslake / Weslake heads",P1,open,"Distinguish period GT40 race heads from road or later-converted heads before machining or settings."
G004,engine,valvetrain and cam package,"Valve lash and rev limit depend on installed cam, lifters, rocker ratio, springs, and head package.","Cam card, lifter type, rocker make/ratio, pushrod length, spring part numbers, installed heights, retainer/lock data, builder lash notes.","P007;ST002","S024","Owner / shop evidence request",P1,open,"Record valvetrain evidence before moving adjusters or issuing lash guidance."
G005,induction,Weber/induction setup,"S018 provides Weber IDA support paths but installed carburetors, jet stack, linkage, and fuel system are unverified.","Carburetor model/series/serials, choke sizes, jets, emulsion tubes, pump jets, linkage, manifold marks, spacers, filters, fuel pressure gauge location.","C005;P009;ST004;ST005","S018","Owner / shop evidence request",P1,open,"Identify carburetors and obtain exact Weber literature before kit ordering or tuning."
G006,electrical_instruments,ignition hardware and curve,"Ignition was freer under period rules, but timing depends on installed distributor/trigger, coil/box, plugs, fuel, cam, compression, and build sheet.","Distributor/trigger ID, advance mechanism/curve, coil, ignition box, plug wires, spark plugs, tach drive, fuel and engine build data.","P008;ST001;ST003","S009;S015;S024","Owner / shop evidence request",P1,open,"Map ignition hardware and source plug/timing data before timing recommendations."
G007,fuel_oil_cooling,fuel storage and delivery,"S015 leaves fuel capacity and pump fields blank; S019 sets safety gates but installed tank/cell/pump/line evidence is missing.","Tank/cell maker, date/certification, foam, capacity, filler caps, vents, pumps, regulator, filters, hose spec/date, line routing, pressure test results.","C010;P011;P012;ST005;ST020","S015;S019","Owner / shop evidence request",P1,open,"Map and photograph fuel system before filling or pressure testing."
G008,fuel_oil_cooling,oil system,"S015 leaves lubrication/capacity/oil-cooler fields blank; oil type, quantity, and pressure require installed oil-system and engine-clearance evidence.","Sump or dry-sump tank, pump, cooler, filter, thermostat, relief, line sizes, breathers, catch tank, builder data, pressure history.","C011;P013;ST006;ST007","S015;S019","Owner / shop evidence request",P1,open,"Map oil circuit before fill quantity, priming, or pressure advice."
G009,fuel_oil_cooling,cooling system,"S015 leaves cooling method, capacity, fan, and fan-blade fields blank; installed cooling layout is unknown.","Radiator, water pump, fans, cap pressure, thermostat/restrictor, hose sizes/dates, bleed points, pressure-test results.","C012;P014","S015","Owner / shop evidence request",P2,open,"Document cooling layout before coolant capacity, cap, or bleed guidance."
G010,driveline,transaxle identity and service data,"S015 verifies ZF and Hewland contexts; S016 applies only if installed unit is LG500/LG600 or directly compatible.","Manufacturer/model/serial, case marks, gear stack, final drive, LSD type, clutch/input compatibility, oil history, service manual.","C006;P016;ST008;ST009","S008;S015;S016","Specialist request - transaxle",P1,open,"Identify installed unit before oil, preload, backlash, ratios, or selector setup."
G011,driveline,clutch and halfshafts,"Clutch and halfshaft settings/safety depend on installed transaxle, release geometry, joints, fasteners, and heat exposure.","Clutch disc/cover/flywheel IDs, release bearing, slave/master, linkage, halfshaft joint type, fasteners, safety wire, boots, heat shields.","P015;P017","S015;S016","Owner / shop evidence request",P2,open,"Inspect clutch/halfshaft hardware before pedal or powered-test assumptions."
G012,suspension_steering,suspension geometry and setup,"S015 verifies independent coil-spring context but leaves stabilizer/damper details blank and gives no geometry settings.","Pickup points, arm/upright IDs, spring rates, damper make/serial/valving, anti-roll bars, shim packs, ride height, alignment as found, tire data.","C008;P018;P019;ST010;ST011;ST022","S009;S015","Owner / shop evidence request",P1,open,"Record as-found geometry and hardware before alignment or setup recommendations."
G013,suspension_steering,steering system,"S015 steering fields are blank; steering ratio, stops, and bump steer depend on installed rack, column, arms, wheels, and ride height.","Rack make/ratio, column joints, supports, steering arms, wheel hub, stops, bump-steer measurement, ride height, tire data.","C014;P020;ST017","S015","Owner / shop evidence request",P1,open,"Inspect steering hardware and measure bump steer before adjustment guidance."
G014,brakes_wheels_tires,brake hardware and bias,"S015 verifies hydraulic operation but leaves brake dimensions and hardware fields blank; bias and bedding depend on installed hardware.","Caliper make/model/piston sizes, discs, pads, masters, balance mechanism, line routing, hose dates, fluid, ducts, pedal ratio, pressure data.","C007;P021;P022;ST012","S009;S015","Specialist request - brakes, wheels, hubs, and tires",P1,open,"Identify all brake components before bias, fluid, pad, or bedding advice."
G015,brakes_wheels_tires,wheels hubs center-locks and tires,"S015 wheel fields are blank; center-lock torque and tire pressure are hardware/tire specific and safety critical.","Wheel make/size/offset, hub and peg condition, center-lock nut markings, thread direction, retainers, tire make/model/date/construction, tubes, valves, intended use.","C009;P023;P024;ST013;ST014","S015","Specialist request - brakes, wheels, hubs, and tires",P1,open,"Document wheel/hub/tire hardware before torque or pressure recommendations."
G016,electrical_instruments,wiring charging instruments,"S015 leaves ignition/generator/battery fields blank; wiring and fuse values depend on installed harness, loads, and safety layout.","Harness map, grounds, fuses, relays, connectors, alternator/generator, starter, battery, master switch, instruments, senders, switches, warning lights.","C013;P025;P026;P027;ST015;ST016;ST019","S009;S015;S019","Owner / shop evidence request",P1,open,"Map electrical system before energizing or changing fuse/relay values."
G017,safety,event readiness and current safety equipment,"S019 supplies current Appendix K safety gates, but installed safety equipment, event rules, and HTP state are unknown.","Event rules, HTP/ASN paperwork, belts, seat, anchors, extinguisher/fire system, ROPS/cage, fuel tank/cell, bulkheads, line protection, battery/master switch, warning light, mirrors.","C015;P028;P029;P030;ST018;ST019;ST020;ST021","S014;S019","Event authority request - historic eligibility and safety",P1,open,"Build safety evidence packet before track, race, Appendix K, or event-readiness claims."
G018,history,1968 Le Mans result verification,"S025 verifies the official 1968 winning row for ranking, category, team, participant number, car, and drivers; S013 engine and lap-count details remain lead-only.","Official entry list, race program, scrutineering record, ACO-licensed source, JWA/Ford record, or chassis record for engine, laps, full entrant name, chassis, and preparation detail.","F018;F105;F106;F116;F117;F118;F119","S013;S023;S025","Archive request - ACO / Le Mans",P2,partial_verified,"Use S025 for core winner-row fields only; capture official entry/program/scrutineering/ACO-licensed evidence before promoting engine, lap-count, chassis, or preparation claims."
G019,sources,period Ford FAV JWA service material,"The knowledge base lacks period service/race-preparation documents needed for mechanic settings.","Service manuals, race-prep sheets, parts lists, engineering drawings, build sheets, period photos tied to identified chassis/events/components.","F100;F101;F102;F103;F104;F154;F155;F156;F157;F158;F159;F160;F161","S020;S021;S022;S028","Archive request - Ford / FAV / JWA",P1,open,"Request targeted archive material using S020-S022 and exact S028 accession/box/folder targets; index returned documents as new sources."
G020,general,fastener torque and torque sequence,"Torque values are location/component/material specific and the captured sources do not provide a car-wide torque table.","Component-specific service manual, fastener grade/material/thread, lubricant/locking condition, reuse/replace rule, torque sequence, and applicable repair context.","ST023","S015;S016;S018;S019","Owner / shop evidence request",P1,open,"Identify each fastened joint and applicable source before applying or publishing torque values."
G021,engine,engine rev limit,"S015 verifies the 302 evolution but not the installed rotating assembly, valvetrain, oiling, or safe operating speed.","Engine build sheet, rotating assembly specs, valve springs, cam, oiling system, ignition/fuel setup, dyno or period prep data.","P005;P006;P007;ST024","S015;S024","Owner / shop evidence request",P1,open,"Keep RPM guidance blocked until the installed build and valvetrain/oiling limits are known."
G022,induction,carburetor float mixture pump and synchronization settings,"S018 provides Weber support paths but no installed-carburetor identity or GT40-specific calibration values.","Exact Weber model/series, applicable Weber manual, float/needle/seat data, pump jet/cam data, linkage geometry, fuel pressure, and engine build sheet.","P009;ST025","S018","Owner / shop evidence request",P1,open,"Obtain exact carburetor literature and record linkage geometry before float, mixture, pump, or synchronization settings."
G023,fuel_oil_cooling,oil relief and priming procedure,"S015 leaves lubrication fields blank and priming/relief settings depend on the installed oil circuit and engine clearances.","Pump/relief hardware, wet/dry-sump layout, tank/sump/cooler/filter routing, engine clearances, builder procedure, and pressure history.","P013;ST026","S015","Owner / shop evidence request",P1,open,"Map oil circuit and relief hardware before priming or relief-setting guidance."
G024,fuel_oil_cooling,cooling capacity cap thermostat restrictor and bleed settings,"S015 leaves cooling fields blank and cooling settings depend on installed hardware and routing.","Radiator, water pump, fans, cap, thermostat/restrictor, hose sizes/dates, coolant type, bleed points, and pressure-test results.","P014;ST027","S015","Owner / shop evidence request",P1,open,"Document and pressure-test cooling system before coolant capacity, cap pressure, thermostat, restrictor, or bleed guidance."
G025,driveline,gear ratios and final drive,"Gear ratio and final-drive advice depends on the installed transaxle, current gear stack, engine torque curve, tires, and use case.","Transaxle ID, gear stack tooth counts, crown wheel/pinion, tire diameter, engine build/dyno data, event/use case, and service manual.","P016;ST028","S015;S016","Specialist request - transaxle",P1,open,"Record existing ratios and transaxle identity before ratio recommendations."
G026,driveline,clutch adjustment and release geometry,"Clutch adjustment depends on installed clutch, release bearing, hydraulics, pedal geometry, and transaxle input compatibility.","Clutch disc/cover/flywheel IDs, input spline, release bearing, slave/master cylinders, pedal ratio, linkage geometry, free play, and service source.","P015;ST029","S015;S016","Owner / shop evidence request",P1,open,"Identify clutch and release components before adjustment or bleeding guidance."
